Points,Wins,Points Percentage,Goals Against,Goals For,League Rank
89,40,0.54,200,219,22
85,38,0.52,248,234,30
69,32,0.42,257,199,12
115,54,0.7,184,257,7
91,41,0.55,229,230,10
88,40,0.54,235,239,3
80,34,0.49,218,193,27
79,33,0.48,237,205,15
108,49,0.66,193,222,2
102,47,0.62,191,205,17
97,45,0.59,207,242,20
83,38,0.51,231,214,4
71,32,0.43,266,231,9
104,47,0.63,222,262,19
94,43,0.57,247,261,13
94,41,0.57,222,212,14
90,39,0.55,242,255,11
83,36,0.51,260,231,29
102,47,0.62,216,247,8
99,46,0.6,197,206,6
97,42,0.59,199,213,21
95,42,0.58,233,248,18
79,35,0.48,243,194,26
98,44,0.6,218,223,22
95,44,0.58,219,231,12
94,42,0.57,227,229,16
88,41,0.54,251,235,30
88,39,0.54,215,213,5
94,43,0.57,231,242,1
92,43,0.56,249,252,24
85,38,0.52,226,216,28
76,34,0.46,272,216,23
71,31,0.43,267,223,25
113,53,0.69,242,308,11
105,48,0.64,222,288,13
91,40,0.55,269,258,29
90,42,0.55,256,245,19
76,35,0.46,289,219,14
113,50,0.69,199,254,7
110,51,0.67,212,272,10
81,34,0.49,254,214,15
73,33,0.45,249,201,27
71,31,0.43,258,201,3
110,48,0.67,208,258,17
107,51,0.65,199,258,2
107,50,0.65,197,226,20
68,27,0.41,283,227,9
67,31,0.41,284,216,4
107,49,0.65,201,216,6
105,47,0.64,246,277,8
94,42,0.57,216,242,21
92,40,0.56,240,248,26
56,22,0.34,303,214,18
105,49,0.64,201,222,5
104,48,0.63,191,235,22
96,43,0.59,226,258,16
95,44,0.58,251,272,12
71,32,0.43,248,195,30
97,43,0.59,245,246,23
93,44,0.57,261,253,25
88,40,0.54,253,241,24
86,35,0.52,257,247,28
70,28,0.43,286,235,1
115,54,0.7,184,257,3
91,41,0.55,229,230,20
88,40,0.54,235,239,6
